Normal	DSS	MHs	CMHs
ASV_248	ASV_282	ASV_248	ASV_249
ASV_249	ASV_283	ASV_249	ASV_250
ASV_250	ASV_284	ASV_250	ASV_251
ASV_251	ASV_287	ASV_252	ASV_252
ASV_252	ASV_288	ASV_253	ASV_253
ASV_253	ASV_289	ASV_255	ASV_255
ASV_257	ASV_292	ASV_259	ASV_259
ASV_260	ASV_293	ASV_262	ASV_260
ASV_262	ASV_297	ASV_265	ASV_265
ASV_263	ASV_298	ASV_266	ASV_266
ASV_264	ASV_299	ASV_267	ASV_268
ASV_265	ASV_300	ASV_268	ASV_275
ASV_266	ASV_301	ASV_269	ASV_277
ASV_267	ASV_302	ASV_271	ASV_278
ASV_268	ASV_303	ASV_278	ASV_279
ASV_269	ASV_305	ASV_279	ASV_281
ASV_272	ASV_309	ASV_281	ASV_282
ASV_273	ASV_310	ASV_282	ASV_287
ASV_276	ASV_311	ASV_285	ASV_288
ASV_278	ASV_312	ASV_288	ASV_289
ASV_279	ASV_313	ASV_290	ASV_290
ASV_280	ASV_314	ASV_292	ASV_292
ASV_281	ASV_315	ASV_294	ASV_293
ASV_284	ASV_317	ASV_296	ASV_294
ASV_286	ASV_319	ASV_297	ASV_295
ASV_288	ASV_323	ASV_299	ASV_296
ASV_289	ASV_324	ASV_300	ASV_297
ASV_290	ASV_327	ASV_305	ASV_299
ASV_291	ASV_328	ASV_309	ASV_300
ASV_292	ASV_329	ASV_310	ASV_302
ASV_293	ASV_331	ASV_315	ASV_306
ASV_294	ASV_333	ASV_316	ASV_308
ASV_295	ASV_334	ASV_318	ASV_309
ASV_296	ASV_335	ASV_320	ASV_310
ASV_297	ASV_336	ASV_322	ASV_311
ASV_299	ASV_337	ASV_324	ASV_312
ASV_302	ASV_339	ASV_325	ASV_313
ASV_304	ASV_341	ASV_326	ASV_315
ASV_306	ASV_342	ASV_329	ASV_316
ASV_307	ASV_343	ASV_331	ASV_320
ASV_309	ASV_344	ASV_333	ASV_322
ASV_310	ASV_346	ASV_335	ASV_323
ASV_315	ASV_347	ASV_336	ASV_324
ASV_316	ASV_349	ASV_338	ASV_325
ASV_318	ASV_350	ASV_339	ASV_328
ASV_320	ASV_351	ASV_340	ASV_330
ASV_321	ASV_353	ASV_342	ASV_331
ASV_322	ASV_355	ASV_344	ASV_332
ASV_323	ASV_356	ASV_345	ASV_333
ASV_324	ASV_358	ASV_347	ASV_335
ASV_325	ASV_359	ASV_352	ASV_336
ASV_326	ASV_363	ASV_353	ASV_338
ASV_329	ASV_365	ASV_354	ASV_340
